donors,mean,donations,in_state_donors_count,oo_state_donors_count,in_state_donations_amt,oo_state_donations_amt,name,org_id,office,district,CO_ID,party,jurisdiction,race_id,declared_year
14,95.36642857142856,15,8.0,6.0,166.25125,0.8533333333333334,"ROUPE, CATHERINE",40135,Colorado House,House District 17,20075639668.0,Republican,STATEWIDE,1224,2018.0
14,95.36642857142856,15,8.0,6.0,166.25125,0.8533333333333334,"ROUPE, CATHERINE",40019,Colorado House,House District 17,20075639668.0,Republican,STATEWIDE,1485,2018.0
10,447.5,10,9.0,1.0,477.77777777777777,175.0,"JAHN, CHERI",39472,Colorado Senate,Senate District 20,20095603352.0,Unaffiliated,STATEWIDE,1070,2018.0
10,447.5,10,9.0,1.0,477.77777777777777,175.0,"JAHN, CHERI",34244,Colorado Senate,Senate District 20,20095603352.0,Unaffiliated,STATEWIDE,2790,2016.0
143,-8.223776223776223,290,136.0,7.0,-14.154411764705882,107.0,"PABON, DANIEL",36896,Colorado House,House District 04,20095609478.0,Democratic,STATEWIDE,468,2017.0
132,210.71969696969697,138,117.0,15.0,210.3846153846154,213.33333333333334,"KRAFT-THARP, TRACY",37133,Colorado House,House District 29,20115021701.0,Democratic,STATEWIDE,1771,2017.0
62,204.1290322580645,62,55.0,7.0,206.56363636363636,185.0,"ROSENTHAL, PAUL",37976,Colorado House,House District 09,20115022032.0,Democratic,STATEWIDE,2103,2017.0
26,109.19269230769231,26,21.0,5.0,130.42904761904762,20.0,"MASON, ELMER ""JIM""",37679,SCHOOL BOARD DIRECTOR,COLORADO SPRINGS 11,20115022120.0,Non-Partisan,EL PASO,1885,2017.0
26,109.19269230769231,26,21.0,5.0,130.42904761904762,20.0,"MASON, ELMER ""JIM""",38951,SCHOOL BOARD DIRECTOR,COLORADO SPRINGS 11,20115022120.0,Non-Partisan,EL PASO,1012,2017.0
107,142.16841121495324,114,98.0,9.0,141.96887755102037,144.3411111111111,"FOOTE, MIKE",36974,Colorado House,House District 12,20115022149.0,Democratic,STATEWIDE,532,2017.0
35,227.14285714285714,37,34.0,1.0,227.94117647058823,200.0,"MELTON, JOVAN",37253,Colorado House,House District 41,20115022909.0,Democratic,STATEWIDE,2666,2017.0
37,193.3783783783784,38,26.0,11.0,227.69230769230768,112.27272727272727,"GINAL, JOANN",36938,Colorado House,House District 52,20115022911.0,Democratic,STATEWIDE,3032,2017.0
23,257.39130434782606,23,21.0,2.0,270.0,125.0,"SINGER, JONATHAN",38514,Colorado House,House District 11,20115022936.0,Democratic,STATEWIDE,2253,2017.0
23,257.39130434782606,23,21.0,2.0,270.0,125.0,"SINGER, JONATHAN",34249,Colorado House,House District 11,20115022936.0,Democratic,STATEWIDE,3136,2016.0
15,247.33333333333334,16,13.0,2.0,246.92307692307693,250.0,"NORDBERG, DANIEL",37564,Colorado House,HOUSE DISTRICT 14,20115023002.0,Republican,STATEWIDE,64,2017.0
4,800.0,4,3.0,1.0,933.3333333333334,400.0,"BUCK, PERRY",39177,Colorado House,House District 49,20125023099.0,Republican,STATEWIDE,1753,2017.0
4,800.0,4,3.0,1.0,933.3333333333334,400.0,"BUCK, PERRY",39176,Colorado House,House District 49,20125023099.0,Republican,STATEWIDE,2804,2017.0
12,427.0833333333333,17,6.0,6.0,720.8333333333334,133.33333333333334,"RANKIN, ROBERT",37161,Colorado House,House District 57,20125023123.0,Republican,STATEWIDE,773,2017.0
2,300.0,2,1.0,1.0,400.0,200.0,"MITSCH BUSH, DIANE",37140,Colorado House,House District 26,20125023146.0,Democratic,STATEWIDE,2230,2017.0
40,221.29524999999998,41,33.0,7.0,250.05484848484846,85.71428571428571,"LANDGRAF, LOIS",37572,Colorado House,House District 21,20125023159.0,Republican,STATEWIDE,331,2017.0
6,551.6666666666666,6,5.0,1.0,660.0,10.0,"SAINE, LORI",37571,Colorado House,House District 63,20125023220.0,Republican,STATEWIDE,683,2017.0
6,551.6666666666666,6,5.0,1.0,660.0,10.0,"SAINE, LORI",37575,Colorado House,House District 63,20125023220.0,Republican,STATEWIDE,2499,2017.0
84,164.19928571428574,88,81.0,3.0,162.87333333333336,200.0,"NAVARRO-RATZLAFF, CLARICE",39077,Colorado House,House District 47,20125023313.0,Republican,STATEWIDE,1724,2017.0
166,194.76036144578313,207,155.0,11.0,192.52161290322582,226.3063636363636,"EXUM SR, THOMAS",39168,Colorado House,House District 17,20125024246.0,Democratic,STATEWIDE,1224,2017.0
166,194.76036144578313,207,155.0,11.0,192.52161290322582,226.3063636363636,"EXUM SR, THOMAS",37146,Colorado House,House District 17,20125024246.0,Democratic,STATEWIDE,2513,2017.0
50,305.2116,57,49.0,1.0,311.0322448979592,20.0,"ELDER, WILLIAM",37745,Sheriff,,20135025275.0,Republican,EL PASO,1344,2017.0
50,305.2116,57,49.0,1.0,311.0322448979592,20.0,"ELDER, WILLIAM",37159,Sheriff,,20135025275.0,Republican,EL PASO,3007,2017.0
